tag,site,condition,layer,mean_delta,ci_lo,ci_hi,flip_rate,n
instruct,equals,shuffled,20,0.003125,-0.00625,0.0125,0.745,200
instruct,equals,shuffled,22,0,-0.009375,0.009375,0.74,200
instruct,equals,shuffled,24,0.0025,-0.005625,0.010625,0.735,200
instruct,equals,shuffled,26,0.00375,-0.005,0.013125,0.73,200
instruct,equals,shuffled,28,-0.0025,-0.01125,0.006875,0.74,200
instruct,equals,shuffled,30,0.000625,-0.0075,0.00875,0.725,200
instruct,equals,shuffled,31,0.009375,0.001875,0.016875,0.74,200
instruct,c4_ref,inject,0,-0.0025,-0.01,0.005,1,200
instruct,c4_ref,inject,2,-0.000625,-0.008125,0.006875,1,200
instruct,c4_ref,inject,4,0.0025,-0.005625,0.010625,1,200
instruct,c4_ref,inject,6,-0.004375,-0.0125,0.00375,1,200
instruct,c4_ref,inject,8,-0.005,-0.013125,0.003125,1,200
instruct,c4_ref,inject,10,-0.0025,-0.01125,0.00625,1,200
instruct,c4_ref,inject,12,-0.004375,-0.011875,0.003125,1,200
instruct,c4_ref,inject,14,0.000625,-0.0075,0.00875,1,200
instruct,c4_ref,inject,16,0.004375,-0.004375,0.013125,1,200
instruct,c4_ref,inject,18,-0.004375,-0.0125,0.00375,1,200
instruct,c4_ref,inject,20,-0.0025,-0.009375,0.004375,1,200
instruct,c4_ref,inject,22,-0.003125,-0.010625,0.004375,1,200
instruct,c4_ref,inject,24,-0.008125,-0.01625,-0.000625,1,200
instruct,c4_ref,inject,26,-0.009375,-0.0175,-0.00125,1,200
instruct,c4_ref,inject,28,-0.0075,-0.01625,0.00125,1,200
instruct,c4_ref,inject,30,-0.01,-0.0175,-0.0025,1,200
instruct,c4_ref,inject,31,0,-0.01,0.01,1,200
instruct,rparen,erase,2,0.003125,-0.005625,0.0125,0.72,200
instruct,equals,erase,30,-0.00125,-0.009375,0.006875,0.735,200
